Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-XXL,Epistemic_Reasoning,BBL,Correct,1,0,0.635500014,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Correct,2,0,0.615999997,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Correct,3,0,0.662500024,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Correct,4,0,0.666999996,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Correct,5,0,0.649500012,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Correct,6,0,0.601999998,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Correct,7,0,0.59799999,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Correct,8,0,0.596499979,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Default,1,0,0.601999998,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Incorrect,1,0,0.590499997,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Incorrect,2,0,0.575999975,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Incorrect,3,0,0.550999999,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Incorrect,4,0,0.550499976,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Incorrect,5,0,0.61500001,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Incorrect,6,0,0.629499972,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Incorrect,7,0,0.590499997,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Incorrect,8,0,0.64349997,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Negation,1,0,0.6940000057220459,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Negation,2,0,0.6554999947547913,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Negation,3,0,0.6859999895095825,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Negation,4,0,0.6855000257492065,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Negation,5,0,0.6549999713897705,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Negation,6,0,0.6320000290870667,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Negation,7,0,0.5529999732971191,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Negation,8,0,0.6784999966621399,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Random,1,0,0.483500004,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Random,2,0,0.485000014,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Random,3,0,0.51700002,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Random,4,0,0.493000001,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Random,5,0,0.497999996,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Unobserved,1,0,0.563000023,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Unobserved,2,0,0.58950001,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Unobserved,3,0,0.586499989,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Unobserved,4,0,0.602999985,Logits,True
Flan-T5-XXL,Epistemic_Reasoning,BBL,Unobserved,5,0,0.564499974,Logits,True
