Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-Small,BBQ_Lite,BBL,Default,1,0,0.288131376,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,1,0,0.294662851,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,2,0,0.270900722,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,3,0,0.269718836,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,4,0,0.274197562,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,5,0,0.277618811,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,6,0,0.265675541,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,7,0,0.424919134,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,8,0,0.275379448,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,9,0,0.266297586,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,10,0,0.278800697,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,11,0,0.257837771,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,12,0,0.279422742,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,1,0,0.299390396,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,2,0,0.290681762,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,3,0,0.276499129,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,4,0,0.275752675,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,5,0,0.277245583,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,6,0,0.29752426,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,7,0,0.278925106,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,8,0,0.291925852,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,9,0,0.273140085,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,10,0,0.274259766,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,11,0,0.27774322,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,12,0,0.26978104,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,13,0,0.275068425,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,14,0,0.276810152,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,15,0,0.286887285,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,16,0,0.270900722,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,17,0,0.272766857,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,18,0,0.27898731,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,19,0,0.277992038,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,20,0,0.273637721,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,21,0,0.282532968,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,22,0,0.282035332,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,23,0,0.276934561,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,24,0,0.275939288,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,25,0,0.276125902,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,26,0,0.28035581,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,27,0,0.276001493,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,28,0,0.284523513,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,29,0,0.276747947,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,30,0,0.277307788,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,31,0,0.273015676,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,32,0,0.271958199,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,33,0,0.270714108,Logits,TRUE
