Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-Small,BBQ_Lite,BBL,Default,1,1,0.313281506,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,1,1,0.308864683,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,2,1,0.277076215,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,3,1,0.27670294,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,4,1,0.280311048,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,5,1,0.273281485,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,6,1,0.273219287,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,7,1,0.277200609,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,8,1,0.297418356,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,9,1,0.296796262,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,10,1,0.283856928,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,11,1,0.300715387,Logits,TRUE
Flan-T5-Small,BBQ_Lite,BBL,Unobserved,12,1,0.299906701,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,1,1,0.2918818,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,2,1,0.297480553,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,3,1,0.297916025,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,4,1,0.293872476,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,5,1,0.293499231,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,6,1,0.293499231,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,7,1,0.296982884,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,8,1,0.302208394,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,9,1,0.299720049,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,10,1,0.291819602,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,11,1,0.326594085,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,12,1,0.324292392,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,13,1,0.326158643,Logits,TRUE
Flan-T5-Small,BBQ_Lite,NIV2,QA,14,1,0.328335911,Logits,TRUE
