Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-XXL,BBQ_Lite,BBL,Default,1,1,0.82587868,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,1,1,0.79956454,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,2,1,0.703265965,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,3,1,0.756018639,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,4,1,0.699533463,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,5,1,0.718009353,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,6,1,0.787185073,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,7,1,0.770637631,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,8,1,0.829735637,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,9,1,0.789362371,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,10,1,0.713530302,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,11,1,0.86021775,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,12,1,0.8405599,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,1,1,0.756889582,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,2,1,0.750730932,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,3,1,0.764354587,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,4,1,0.758133769,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,5,1,0.760622084,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,6,1,0.760622084,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,7,1,0.743701398,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,8,1,0.757387221,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,9,1,0.75906688,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,10,1,0.754214644,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,11,1,0.825940907,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,12,1,0.819533408,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,13,1,0.824758947,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,14,1,0.818351507,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,15,1,0.818849146,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,16,1,0.818849146,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,17,1,0.815800905,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,18,1,0.818600297,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,19,1,0.819097996,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,20,1,0.816796243,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,21,1,0.773063779,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,22,1,0.777293921,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,23,1,0.782146215,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,24,1,0.782706082,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,25,1,0.776485205,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,26,1,0.776485205,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,27,1,0.770326614,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,28,1,0.7813375,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,29,1,0.776236415,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,30,1,0.778911352,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,31,1,0.761990666,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,32,1,0.762737155,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,33,1,0.763919115,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,34,1,0.76640749,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,35,1,0.762115061,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,36,1,0.762115061,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,37,1,0.759564519,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,38,1,0.768833578,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,39,1,0.765474319,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,40,1,0.761804044,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,41,1,0.741897345,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,42,1,0.73679626,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,43,1,0.748615861,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,44,1,0.739346802,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,45,1,0.742395043,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,46,1,0.742395043,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,47,1,0.723856926,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,48,1,0.74650079,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,49,1,0.744945586,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,50,1,0.738475919,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,BBL,Default,1,1,0.474576265,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,BBL,Unobserved,1,1,0.830508471,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,BBL,Unobserved,2,1,0.677966118,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,BBL,Unobserved,3,1,0.796610177,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,BBL,Unobserved,4,1,0.762711883,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,BBL,Unobserved,5,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,BBL,Unobserved,6,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,BBL,Unobserved,7,1,0.796610177,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,BBL,Unobserved,8,1,0.830508471,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,BBL,Unobserved,9,1,0.813559294,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,BBL,Unobserved,10,1,0.576271176,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,1,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,2,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,3,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,4,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,5,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,6,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,7,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,8,1,0.830508471,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,9,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,10,1,0.830508471,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,11,1,0.881355941,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,12,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,13,1,0.881355941,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,14,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,15,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,16,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,17,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,18,1,0.881355941,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,19,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,20,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,21,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,22,1,0.881355941,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,23,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,24,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,25,1,0.830508471,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,26,1,0.813559294,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,27,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,28,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,29,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,30,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,31,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,32,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,33,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,34,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,35,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,36,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,37,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,38,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,39,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,40,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,41,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,42,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,43,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,44,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,45,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,46,1,0.847457647,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,47,1,0.830508471,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,48,1,0.813559294,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,49,1,0.830508471,Logits,TRUE
Flan-T5-XXL,Code_Line_Description,NIV2,QA,50,1,0.864406765,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,BBL,Default,1,1,0.69607842,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,BBL,Unobserved,1,1,0.764705896,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,BBL,Unobserved,2,1,0.764705896,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,BBL,Unobserved,3,1,0.79411763,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,BBL,Unobserved,4,1,0.754901946,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,BBL,Unobserved,5,1,0.725490212,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,BBL,Unobserved,6,1,0.745098054,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,BBL,Unobserved,7,1,0.735294104,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,BBL,Unobserved,8,1,0.774509788,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,BBL,Unobserved,9,1,0.784313738,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,BBL,Unobserved,10,1,0.735294104,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,NIV2,QA,1,1,0.774509788,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,NIV2,QA,2,1,0.79411763,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,NIV2,QA,3,1,0.774509788,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,NIV2,QA,4,1,0.784313738,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,NIV2,QA,5,1,0.784313738,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,NIV2,QA,6,1,0.774509788,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,NIV2,QA,7,1,0.784313738,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,NIV2,QA,8,1,0.79411763,Logits,TRUE
Flan-T5-XXL,Conceptual_Combinations,NIV2,QA,9,1,0.764705896,Logits,TRUE
