Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-Large,BBQ_Lite,BBL,Default,1,0,0.560151779,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,1,0,0.574645434,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,2,0,0.558472257,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,3,0,0.544476238,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,4,0,0.592062702,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,5,0,0.544973874,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,6,0,0.582483205,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,7,0,0.45315999,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,8,0,0.564257278,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,9,0,0.56332421,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,10,0,0.54422742,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,11,0,0.63392635,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,12,0,0.648544414,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,1,0,0.552314008,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,2,0,0.552687236,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,3,0,0.545720328,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,4,0,0.54684001,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,5,0,0.541925852,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,6,0,0.55411794,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,7,0,0.539437671,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,8,0,0.547275442,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,9,0,0.541428216,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,10,0,0.540184125,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,11,0,0.566434436,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,12,0,0.59162727,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,13,0,0.562453347,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,14,0,0.588517044,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,15,0,0.587272953,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,16,0,0.596665837,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,17,0,0.589947748,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,18,0,0.588890271,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,19,0,0.559405325,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,20,0,0.583727295,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,21,0,0.59038318,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,22,0,0.587148544,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,23,0,0.571348594,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,24,0,0.572032844,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,25,0,0.567865141,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,26,0,0.59492411,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,27,0,0.570353322,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,28,0,0.573152526,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,29,0,0.568611595,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,30,0,0.564568301,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,31,0,0.580430455,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,32,0,0.589325703,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,33,0,0.582794227,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,34,0,0.582234387,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,35,0,0.578502115,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,36,0,0.589574521,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,37,0,0.58049266,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,38,0,0.581985569,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,39,0,0.581861159,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,40,0,0.580306046,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,41,0,0.547399851,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,42,0,0.550261259,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,43,0,0.541303807,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,44,0,0.542423488,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,45,0,0.536576263,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,46,0,0.551629759,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,47,0,0.536638467,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,48,0,0.541490421,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,49,0,0.535829808,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,50,0,0.536576263,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Default,1,0,0.366666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,1,0,0.616666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,2,0,0.616666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,3,0,0.75,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,4,0,0.7,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,5,0,0.716666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,6,0,0.7,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,7,0,0.733333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,8,0,0.7,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,9,0,0.716666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,10,0,0.35,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,1,0,0.733333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,2,0,0.733333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,3,0,0.733333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,4,0,0.733333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,5,0,0.733333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,6,0,0.716666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,7,0,0.733333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,8,0,0.766666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,9,0,0.733333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,10,0,0.733333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,11,0,0.666666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,12,0,0.683333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,13,0,0.683333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,14,0,0.683333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,15,0,0.683333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,16,0,0.666666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,17,0,0.65,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,18,0,0.683333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,19,0,0.683333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,20,0,0.683333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,21,0,0.75,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,22,0,0.75,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,23,0,0.766666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,24,0,0.75,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,25,0,0.766666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,26,0,0.733333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,27,0,0.766666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,28,0,0.766666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,29,0,0.75,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,30,0,0.75,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,31,0,0.683333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,32,0,0.716666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,33,0,0.7,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,34,0,0.7,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,35,0,0.716666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,36,0,0.7,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,37,0,0.7,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,38,0,0.716666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,39,0,0.716666667,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,40,0,0.7,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,41,0,0.733333333,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,42,0,0.75,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,43,0,0.75,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,44,0,0.75,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,45,0,0.766666667,Logits,TRUE
