Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-Base,BBQ_Lite,BBL,Default,1,0,0.484013438,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,1,0,0.500995272,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,2,0,0.49079373,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,3,0,0.462615078,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,4,0,0.529236128,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,5,0,0.53831799,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,6,0,0.491789002,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,7,0,0.406133367,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,8,0,0.509890497,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,9,0,0.501119682,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,10,0,0.561893506,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,11,0,0.553620304,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,12,0,0.528738492,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,1,0,0.535145559,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,2,0,0.526623538,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,3,0,0.529236128,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,4,0,0.528178632,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,5,0,0.522144812,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,6,0,0.529173924,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,7,0,0.52569047,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,8,0,0.523948743,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,9,0,0.529982583,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,10,0,0.527121174,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,11,0,0.513249565,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,12,0,0.479037076,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,13,0,0.514493655,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,14,0,0.516608609,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,15,0,0.506531475,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,16,0,0.507091316,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,17,0,0.519718836,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,18,0,0.509081861,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,19,0,0.504416522,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,20,0,0.483204782,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,21,0,0.533155014,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,22,0,0.534461309,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,23,0,0.532657377,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,24,0,0.531537696,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,25,0,0.526188106,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,26,0,0.537322717,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,27,0,0.537011694,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,28,0,0.523077905,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,29,0,0.534025877,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,30,0,0.530853446,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,31,0,0.507464543,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,32,0,0.50522518,Logits,TRUE
