Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-XXL,Logical_Sequence,BBL,Correct,1,0,0.6410256624221802,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Correct,2,0,0.4615384638309479,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Correct,3,0,0.5641025900840759,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Correct,4,0,0.5897436141967773,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Correct,5,0,0.5897436141967773,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Default,1,0,0.5384615659713745,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Incorrect,1,0,0.538461566,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Incorrect,2,0,0.410256416,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Incorrect,3,0,0.538461566,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Incorrect,5,0,0.487179488,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Negation,1,0,0.1794871836900711,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Negation,2,0,0.07692307978868484,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Negation,3,0,0.20512820780277252,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Negation,4,0,0.07692307978868484,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Negation,5,0,0.05128205195069313,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Random,1,0,0.333333343,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Random,2,0,0.410256416,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Random,3,0,0.256410271,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Random,4,0,0.333333343,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Random,5,0,0.384615391,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Unobserved,1,0,0.56410259,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Unobserved,2,0,0.487179488,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Unobserved,3,0,0.589743614,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Unobserved,4,0,0.461538464,Logits,True
Flan-T5-XXL,Logical_Sequence,BBL,Unobserved,5,0,0.538461566,Logits,True
