Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-Base,BBQ_Lite,BBL,Default,1,1,0.490077764,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,1,1,0.499471217,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,2,1,0.475769818,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,3,1,0.481181949,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,4,1,0.469362378,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,5,1,0.489766717,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,6,1,0.508802474,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,7,1,0.553468108,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,8,1,0.564603448,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,9,1,0.492939353,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,10,1,0.483048201,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,11,1,0.571384132,Logits,TRUE
Flan-T5-Base,BBQ_Lite,BBL,Unobserved,12,1,0.547060668,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,1,1,0.518444777,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,2,1,0.519751191,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,3,1,0.523297071,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,4,1,0.516765177,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,5,1,0.518755853,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,6,1,0.518755853,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,7,1,0.515894234,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,8,1,0.516516328,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,9,1,0.51906687,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,10,1,0.518071532,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,11,1,0.481306374,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,12,1,0.480559886,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,13,1,0.480248839,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,14,1,0.474587858,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,15,1,0.477760494,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,16,1,0.477760494,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,17,1,0.475894243,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,18,1,0.478942454,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,19,1,0.472099543,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,20,1,0.475209951,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,21,1,0.522799373,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,22,1,0.523856938,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,23,1,0.531570733,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,24,1,0.516889572,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,25,1,0.524976671,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,26,1,0.524976671,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,27,1,0.520870924,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,28,1,0.520124435,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,29,1,0.524479032,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,30,1,0.523483694,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,31,1,0.506376386,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,32,1,0.506936252,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,33,1,0.508740306,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,34,1,0.503950238,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,35,1,0.507060647,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,36,1,0.507060647,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,37,1,0.505256593,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,38,1,0.506687403,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,39,1,0.506251931,Logits,TRUE
Flan-T5-Base,BBQ_Lite,NIV2,QA,40,1,0.508615851,Logits,TRUE
