Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-XXL,Language_Identification_Adversial,BBL,Correct,1,0,0.390300006,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Correct,2,0,0.385600001,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Correct,3,0,0.392399997,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Correct,4,0,0.391200006,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Correct,5,0,0.387600005,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Default,1,0,0.2761,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Incorrect,1,0,0.359699994,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Incorrect,2,0,0.243399993,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Incorrect,3,0,0.298099995,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Incorrect,4,0,0.270599991,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Negation,1,0,0.37529999,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Negation,2,0,0.368800014,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Negation,3,0,0.371399999,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Negation,4,0,0.362699986,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Negation,5,0,0.367700011,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Random,1,0,0.125699997,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Random,2,0,0.126300007,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Random,3,0,0.117399998,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Random,4,0,0.128700003,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Random,5,0,0.120999999,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Unobserved,1,0,0.2673,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Unobserved,2,0,0.308099985,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Unobserved,3,0,0.334100008,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Unobserved,4,0,0.1963,Logits,TRUE
Flan-T5-XXL,Language_Identification_Adversial,BBL,Unobserved,5,0,0.335200012,Logits,TRUE
