Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
T0++,BBQ_Lite,BBL,Default,1,0,0.501928329,Logits,True
T0++,BBQ_Lite,BBL,Unobserved,1,0,0.549265981,Logits,True
T0++,BBQ_Lite,BBL,Unobserved,2,0,0.510077119,Logits,True
T0++,BBQ_Lite,BBL,Unobserved,3,0,0.519718826,Logits,True
T0++,BBQ_Lite,BBL,Unobserved,4,0,0.503296852,Logits,True
T0++,BBQ_Lite,BBL,Unobserved,5,0,0.55909431,Logits,True
T0++,BBQ_Lite,BBL,Unobserved,6,0,0.50143069,Logits,True
T0++,BBQ_Lite,BBL,Unobserved,7,0,0.435929328,Logits,True
T0++,BBQ_Lite,BBL,Unobserved,8,0,0.509455085,Logits,True
T0++,BBQ_Lite,BBL,Unobserved,9,0,0.539499879,Logits,True
T0++,BBQ_Lite,BBL,Unobserved,10,0,0.529795945,Logits,True
T0++,BBQ_Lite,BBL,Unobserved,11,0,0.521958172,Logits,True
T0++,BBQ_Lite,BBL,Unobserved,12,0,0.528303087,Logits,True
T0++,BBQ_Lite,T0,QA,1,0,0.61818862,Logits,True
T0++,BBQ_Lite,T0,QA,2,0,0.480903208,Logits,True
T0++,BBQ_Lite,T0,QA,3,0,0.593680024,Logits,True
T0++,BBQ_Lite,T0,QA,4,0,0.477170944,Logits,True
T0++,BBQ_Lite,T0,QA,5,0,0.532657385,Logits,True
T0++,BBQ_Lite,T0,QA,6,0,0.510699153,Logits,True
T0++,BBQ_Lite,T0,QA,7,0,0.515675545,Logits,True
T0++,BBQ_Lite,T0,QA,8,0,0.477606356,Logits,True
T0++,BBQ_Lite,T0,QA,9,0,0.478663832,Logits,True
T0++,BBQ_Lite,T0,QA,10,0,0.479037076,Logits,True
T0++,BBQ_Lite,T0,QA,11,0,0.604441404,Logits,True
T0++,BBQ_Lite,T0,QA,12,0,0.479534715,Logits,True
T0++,BBQ_Lite,T0,QA,13,0,0.487248063,Logits,True
