Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-Large,BBQ_Lite,BBL,Default,1,1,0.560248852,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,1,1,0.583141506,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,2,1,0.551601887,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,3,1,0.555147767,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,4,1,0.590046644,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,5,1,0.549486756,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,6,1,0.585443258,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,7,1,0.580964208,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,8,1,0.606905103,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,9,1,0.559937775,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,10,1,0.579533458,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,11,1,0.594898939,Logits,TRUE
Flan-T5-Large,BBQ_Lite,BBL,Unobserved,12,1,0.645474315,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,1,1,0.546438575,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,2,1,0.546438575,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,3,1,0.549113512,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,4,1,0.548491418,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,5,1,0.549611211,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,6,1,0.549611211,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,7,1,0.551104188,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,8,1,0.543576956,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,9,1,0.548740268,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,10,1,0.550544322,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,11,1,0.595023334,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,12,1,0.59701401,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,13,1,0.598506987,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,14,1,0.594587862,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,15,1,0.59321928,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,16,1,0.59321928,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,17,1,0.594525635,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,18,1,0.598444819,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,19,1,0.596454144,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,20,1,0.599813402,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,21,1,0.571135283,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,22,1,0.571881831,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,23,1,0.575178862,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,24,1,0.567029536,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,25,1,0.569144607,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,26,1,0.569144607,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,27,1,0.573499203,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,28,1,0.566158652,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,29,1,0.569206834,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,30,1,0.568211496,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,31,1,0.589175761,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,32,1,0.587433875,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,33,1,0.592472792,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,34,1,0.586998463,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,35,1,0.588615835,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,36,1,0.588615835,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,37,1,0.588553667,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,38,1,0.58849144,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,39,1,0.581648529,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,40,1,0.589797795,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,41,1,0.551166415,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,42,1,0.550357699,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,43,1,0.551850677,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,44,1,0.548615873,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,45,1,0.548740268,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,46,1,0.548740268,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,47,1,0.551912904,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,48,1,0.545007765,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,49,1,0.551228642,Logits,TRUE
Flan-T5-Large,BBQ_Lite,NIV2,QA,50,1,0.54892689,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Default,1,1,0.355932206,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,1,1,0.491525412,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,2,1,0.508474588,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,3,1,0.728813589,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,4,1,0.745762706,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,5,1,0.372881353,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,6,1,0.3898305,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,7,1,0.728813589,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,8,1,0.559322059,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,9,1,0.661016941,Logits,TRUE
Flan-T5-Large,Code_Line_Description,BBL,Unobserved,10,1,0.338983059,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,1,1,0.779661,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,2,1,0.796610177,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,3,1,0.796610177,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,4,1,0.745762706,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,5,1,0.779661,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,6,1,0.779661,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,7,1,0.779661,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,8,1,0.762711883,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,9,1,0.796610177,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,10,1,0.779661,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,11,1,0.745762706,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,12,1,0.745762706,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,13,1,0.745762706,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,14,1,0.745762706,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,15,1,0.745762706,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,16,1,0.745762706,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,17,1,0.745762706,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,18,1,0.745762706,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,19,1,0.745762706,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,20,1,0.745762706,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,21,1,0.762711883,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,22,1,0.762711883,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,23,1,0.779661,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,24,1,0.762711883,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,25,1,0.779661,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,26,1,0.779661,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,27,1,0.762711883,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,28,1,0.745762706,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,29,1,0.762711883,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,30,1,0.762711883,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,31,1,0.745762706,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,32,1,0.728813589,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,33,1,0.762711883,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,34,1,0.728813589,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,35,1,0.728813589,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,36,1,0.728813589,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,37,1,0.728813589,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,38,1,0.745762706,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,39,1,0.711864412,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,40,1,0.711864412,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,41,1,0.779661,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,42,1,0.796610177,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,43,1,0.779661,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,44,1,0.779661,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,45,1,0.779661,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,46,1,0.779661,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,47,1,0.779661,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,48,1,0.762711883,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,49,1,0.779661,Logits,TRUE
Flan-T5-Large,Code_Line_Description,NIV2,QA,50,1,0.762711883,Logits,TRUE
Flan-T5-Large,Conceptual_Combinations,BBL,Default,1,1,0.284313738,Logits,TRUE
Flan-T5-Large,Conceptual_Combinations,BBL,Unobserved,1,1,0.588235319,Logits,TRUE
Flan-T5-Large,Conceptual_Combinations,BBL,Unobserved,2,1,0.627451003,Logits,TRUE
Flan-T5-Large,Conceptual_Combinations,BBL,Unobserved,3,1,0.558823526,Logits,TRUE
