Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Correct,1,0,0.7864077687263489,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Correct,2,0,0.7669903039932251,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Correct,3,0,0.7572815418243408,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Correct,4,0,0.7961165308952332,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Correct,5,0,0.7669903039932251,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Correct,6,0,0.7766990065574646,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Correct,7,0,0.7864077687263489,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Correct,8,0,0.8058252334594727,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Default,1,0,0.582524299621582,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Incorrect,1,0,0.7864077687263489,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Incorrect,2,0,0.7864077687263489,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Incorrect,3,0,0.7961165308952332,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Incorrect,4,0,0.7864077687263489,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Incorrect,5,0,0.7864077687263489,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Incorrect,6,0,0.7961165308952332,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Incorrect,7,0,0.7864077687263489,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Negation,1,0,0.11650485545396805,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Negation,2,0,0.08737864345312119,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Negation,3,0,0.08737864345312119,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Negation,4,0,0.10679611563682556,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Negation,5,0,0.11650485545396805,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Negation,6,0,0.11650485545396805,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Negation,7,0,0.1553398072719574,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Negation,8,0,0.10679611563682556,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Random,1,0,0.6504854559898376,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Random,2,0,0.5922330021858215,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Random,3,0,0.6407766938209534,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Random,4,0,0.6601941585540771,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Random,5,0,0.6407766938209534,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Unobserved,1,0,0.7184466123580933,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Unobserved,2,0,0.7766990065574646,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Unobserved,3,0,0.7184466123580933,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Unobserved,4,0,0.7669903039932251,Logits,True
Flan-T5-XXL,Conceptual_Combinations_Adversarial,BBL,Unobserved,5,0,0.7864077687263489,Logits,True
