Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-XL,BBQ_Lite,BBL,Default,1,0,0.617193332,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,1,0,0.689723812,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,2,0,0.644563324,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,3,0,0.675043543,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,4,0,0.727917392,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,5,0,0.639089326,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,6,0,0.686053745,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,7,0,0.495459069,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,8,0,0.65700423,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,9,0,0.691154516,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,10,0,0.653769594,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,11,0,0.783963673,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,12,0,0.743530729,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,1,0,0.655138094,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,2,0,0.65563573,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,3,0,0.641453098,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,4,0,0.642821597,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,5,0,0.641577507,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,6,0,0.653520776,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,7,0,0.64052003,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,8,0,0.645994028,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,9,0,0.643319234,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,10,0,0.638716099,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,11,0,0.659492411,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,12,0,0.663908933,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,13,0,0.661109729,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,14,0,0.663473501,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,15,0,0.657377457,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,16,0,0.66030107,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,17,0,0.66882309,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,18,0,0.659865638,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,19,0,0.663224683,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,20,0,0.657564071,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,21,0,0.688355312,Logits,TRUE
