Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-XXL,Empirical_Judgments,BBL,Correct,1,0,0.4040403962135315,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Correct,2,0,0.39393940567970276,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Correct,3,0,0.38383838534355164,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Correct,4,0,0.38383838534355164,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Correct,5,0,0.39393940567970276,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Default,1,0,0.3737373650074005,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Incorrect,1,0,0.34343433380126953,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Incorrect,2,0,0.4040403962135315,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Incorrect,3,0,0.46464645862579346,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Incorrect,4,0,0.49494948983192444,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Incorrect,5,0,0.3737373650074005,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Negation,1,0,0.27272728085517883,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Negation,2,0,0.23232322931289673,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Negation,3,0,0.3232323229312897,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Negation,4,0,0.3030303120613098,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Negation,5,0,0.27272728085517883,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Random,1,0,0.34343433380126953,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Random,2,0,0.31313130259513855,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Random,3,0,0.27272728085517883,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Random,4,0,0.3030303120613098,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Random,5,0,0.31313130259513855,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Unobserved,1,0,0.3636363744735718,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Unobserved,2,0,0.39393940567970276,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Unobserved,3,0,0.39393940567970276,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Unobserved,4,0,0.3636363744735718,Logits,True
Flan-T5-XXL,Empirical_Judgments,BBL,Unobserved,5,0,0.3636363744735718,Logits,True
