Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-XL,BBQ_Lite,BBL,Default,1,1,0.553405881,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,1,1,0.697853804,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,2,1,0.636765182,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,3,1,0.689953327,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,4,1,0.646967351,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,5,1,0.664074659,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,6,1,0.703639209,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,7,1,0.696298599,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,8,1,0.744385719,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,9,1,0.735676527,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,10,1,0.66146189,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,11,1,0.775987566,Logits,TRUE
Flan-T5-XL,BBQ_Lite,BBL,Unobserved,12,1,0.75999999,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,1,1,0.655178845,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,2,1,0.645474315,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,3,1,0.647776067,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,4,1,0.640062213,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,5,1,0.642115057,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,6,1,0.642115057,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,7,1,0.645287693,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,8,1,0.639999986,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,9,1,0.640062213,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,10,1,0.639066875,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,11,1,0.68609643,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,12,1,0.675334394,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,13,1,0.68466562,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,14,1,0.67116642,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,15,1,0.677511692,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,16,1,0.677511692,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,17,1,0.679377913,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,18,1,0.679688931,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,19,1,0.67993778,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,20,1,0.680995345,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,21,1,0.692566097,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,22,1,0.679875612,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,23,1,0.683359265,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,24,1,0.670979798,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,25,1,0.67234838,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,26,1,0.67234838,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,27,1,0.676640749,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,28,1,0.670482099,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,29,1,0.676516354,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,30,1,0.674090207,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,31,1,0.688273728,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,32,1,0.686283052,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,33,1,0.686780691,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,34,1,0.676640749,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,35,1,0.676951766,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,36,1,0.676951766,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,37,1,0.676578522,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,38,1,0.677200615,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,39,1,0.670793176,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,40,1,0.677698314,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,41,1,0.66643858,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,42,1,0.654556751,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,43,1,0.655987561,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,44,1,0.65125972,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,45,1,0.650264382,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,46,1,0.650264382,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,47,1,0.655178845,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,48,1,0.652379453,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,49,1,0.656858504,Logits,TRUE
Flan-T5-XL,BBQ_Lite,NIV2,QA,50,1,0.648211479,Logits,TRUE
Flan-T5-XL,Code_Line_Description,BBL,Default,1,1,0.355932206,Logits,TRUE
Flan-T5-XL,Code_Line_Description,BBL,Unobserved,1,1,0.745762706,Logits,TRUE
Flan-T5-XL,Code_Line_Description,BBL,Unobserved,2,1,0.61016947,Logits,TRUE
Flan-T5-XL,Code_Line_Description,BBL,Unobserved,3,1,0.779661,Logits,TRUE
Flan-T5-XL,Code_Line_Description,BBL,Unobserved,4,1,0.779661,Logits,TRUE
Flan-T5-XL,Code_Line_Description,BBL,Unobserved,5,1,0.762711883,Logits,TRUE
Flan-T5-XL,Code_Line_Description,BBL,Unobserved,6,1,0.61016947,Logits,TRUE
Flan-T5-XL,Code_Line_Description,BBL,Unobserved,7,1,0.745762706,Logits,TRUE
Flan-T5-XL,Code_Line_Description,BBL,Unobserved,8,1,0.728813589,Logits,TRUE
