Model,Dataset,Collection,Type,ID,Shots,Performance,Metric,Include?
Flan-T5-XXL,BBQ_Lite,BBL,Default,1,0,0.752363772,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,1,0,0.795409306,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,2,0,0.705212739,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,3,0,0.765488928,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,4,0,0.780977855,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,5,0,0.714854441,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,6,0,0.732333914,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,7,0,0.396927096,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,8,0,0.766795223,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,9,0,0.786389649,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,10,0,0.681699428,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,11,0,0.853072904,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,BBL,Unobserved,12,0,0.845546156,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,1,0,0.77967156,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,2,0,0.768474745,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,3,0,0.770092063,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,4,0,0.7678527,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,5,0,0.756220453,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,6,0,0.779982583,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,7,0,0.769594426,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,8,0,0.761507838,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,9,0,0.76909679,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,10,0,0.765488928,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,11,0,0.800883304,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,12,0,0.820353322,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,13,0,0.81195571,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,14,0,0.813510824,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,15,0,0.80809903,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,16,0,0.812515551,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,17,0,0.816994277,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,18,0,0.810338393,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,19,0,0.813510824,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,20,0,0.808223439,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,21,0,0.793045534,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,22,0,0.781910923,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,23,0,0.782159741,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,24,0,0.781786514,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,25,0,0.779049515,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,26,0,0.797773078,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,27,0,0.782470764,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,28,0,0.783714854,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,29,0,0.781910923,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,30,0,0.779111719,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,31,0,0.770900722,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,31,0,0.771025131,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,32,0,0.759019657,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,32,0,0.758895248,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,33,0,0.758397611,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,34,0,0.75852202,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,35,0,0.765364519,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,36,0,0.768225927,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,37,0,0.765240109,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,38,0,0.76250311,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,39,0,0.767044041,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,40,0,0.763436178,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,41,0,0.760761383,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,42,0,0.744339388,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,43,0,0.740607116,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,44,0,0.741353571,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,45,0,0.724558348,Logits,TRUE
Flan-T5-XXL,BBQ_Lite,NIV2,QA,46,0,0.760636974,Logits,TRUE
